record_id,source_database,source_category,title,year,ship_name,pathogen,source_url,retrieval_date,language,screening_outcome
SR-0108,CDC VSP,official_public_health,Carnival Sunshine - Norovirus (2/21/2016-3/5/2016),2016,Carnival Sunshine,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0109,CDC VSP,official_public_health,Anthem of the Seas - Norovirus (2/21/2016-3/4/2016),2016,Anthem of the Seas,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0110,CDC VSP,official_public_health,Ocean Princess - Norovirus and EnterotoxigenicE. coli(ETEC) (2/13/2016-3/7/2016),2016,Ocean Princess,Norovirus and EnterotoxigenicE. coli(ETEC),https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0111,CDC VSP,official_public_health,Oceania Riviera - Norovirus (2/12/2016-2/22/2016),2016,Oceania Riviera,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0112,CDC VSP,official_public_health,Oceania Riviera - Norovirus (2/2/2016-2/12/2016),2016,Oceania Riviera,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0113,CDC VSP,official_public_health,Crown Princess - Norovirus (1/8/2016-1/18/2016),2016,Crown Princess,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0114,CDC VSP,official_public_health,Veendam - Norovirus (12/20/2015-12/27/2015),2015,Veendam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0115,CDC VSP,official_public_health,Caribbean Princess - Norovirus (12/13/2015-12/20/2015),2015,Caribbean Princess,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0116,CDC VSP,official_public_health,Oceania Riviera - Norovirus (11/18/2015-12/2/2015),2015,Oceania Riviera,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0117,CDC VSP,official_public_health,Star Princess - Norovirus (4/29/2015-5/14/2015),2015,Star Princess,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0118,CDC VSP,official_public_health,Oceania Marina - Norovirus (4/21/2015-5/7/2015),2015,Oceania Marina,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0119,CDC VSP,official_public_health,ms Maasdam - Norovirus (4/17/2015-5/1/2015),2015,ms Maasdam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
